,Link Names,Links
0,"



","<a class=""navbar-toggle"" href=""#menu-top-slide"">
<span class=""icon-bar""></span>
<span class=""icon-bar""></span>
<span class=""icon-bar""></span>
</a>"
1,Movie Request Page,"<a href=""https://katmoviehd.se/movie-request-page/"">Movie Request Page</a>"
2,How To Download ?,"<a href=""https://katmoviehd.se/how-to-download/"">How To Download ?</a>"
3,VPN !,"<a href=""https://katmoviehd.se/vpn/"">VPN !</a>"
4,Contact Us !,"<a href=""https://katmoviehd.se/contact-us/"">Contact Us !</a>"
5,DMCA,"<a href=""https://katmoviehd.se/dmca/"">DMCA</a>"
6,Disclaimer,"<a href=""https://katmoviehd.se/about/"">Disclaimer</a>"
7,Movie Request Page,"<a href=""https://katmoviehd.se/movie-request-page/"">Movie Request Page</a>"
8,How To Download ?,"<a href=""https://katmoviehd.se/how-to-download/"">How To Download ?</a>"
9,VPN !,"<a href=""https://katmoviehd.se/vpn/"">VPN !</a>"
10,Contact Us !,"<a href=""https://katmoviehd.se/contact-us/"">Contact Us !</a>"
11,DMCA,"<a href=""https://katmoviehd.se/dmca/"">DMCA</a>"
12,Disclaimer,"<a href=""https://katmoviehd.se/about/"">Disclaimer</a>"
13,,"<a class=""custom-logo-link"" href=""https://katmoviehd.se/"" itemprop=""url"" rel=""home""><img alt=""KatmovieHD"" class=""custom-logo"" height=""50"" itemprop=""logo"" loading=""lazy"" sizes=""(max-width: 302px) 100vw, 302px"" src=""https://katmoviehd.se/wp-content/uploads/2020/11/KatMovie-G-S1.png"" srcset=""https://katmoviehd.se/wp-content/uploads/2020/11/KatMovie-G-S1.png 302w, https://katmoviehd.se/wp-content/uploads/2020/11/KatMovie-G-S1-300x50.png 300w, https://katmoviehd.se/wp-content/uploads/2020/11/KatMovie-G-S1-150x25.png 150w"" width=""302""/></a>"
14,"



","<a class=""navbar-toggle"" href=""#menu-main-slide"">
<span class=""icon-bar""></span>
<span class=""icon-bar""></span>
<span class=""icon-bar""></span>
</a>"
15,18+ Adult,"<a href=""https://katmoviehd.se/category/adult/"">18+ Adult</a>"
16,HollyWood Movies,"<a href=""https://katmoviehd.se/category/hollywood-eng/"">HollyWood Movies</a>"
17,Action,"<a href=""https://katmoviehd.se/category/action/"">Action</a>"
18,Adventure,"<a href=""https://katmoviehd.se/category/adventure/"">Adventure</a>"
19,Comedy,"<a href=""https://katmoviehd.se/category/comedy/"">Comedy</a>"
20,Dual Audio,"<a href=""https://katmoviehd.se/category/dual-audio/"">Dual Audio</a>"
21,Fantasy,"<a href=""https://katmoviehd.se/category/fantasy/"">Fantasy</a>"
22,History,"<a href=""https://katmoviehd.se/category/history/"">History</a>"
23,Horror,"<a href=""https://katmoviehd.se/category/horror/"">Horror</a>"
24,Thriller,"<a href=""https://katmoviehd.se/category/thriller/"">Thriller</a>"
25,Mystery,"<a href=""https://katmoviehd.se/category/mystery/"">Mystery</a>"
26,Romance,"<a href=""https://katmoviehd.se/category/romance/"">Romance</a>"
27,sci-fi,"<a href=""https://katmoviehd.se/category/sci-fi/"">sci-fi</a>"
28,Sports,"<a href=""https://katmoviehd.se/category/sports/"">Sports</a>"
29,TV shows,"<a href=""https://katmoviehd.se/category/tv-shows/"">TV shows</a>"
30,Hindi WEBSeries,"<a href=""https://katmoviehd.se/category/hindi-webseries/"">Hindi WEBSeries</a>"
31,TV SERIES [Dubbed],"<a href=""https://katmoviehd.se/category/tv-series-dubbed/"">TV SERIES [Dubbed]</a>"
32,complete season,"<a href=""https://katmoviehd.se/category/complete-season/"">complete season</a>"
33,Animated,"<a href=""https://katmoviehd.se/category/animated/"">Animated</a>"
34,Anime DUBBED,"<a href=""https://katmoviehd.se/category/anime-dubbed/"">Anime DUBBED</a>"
35,Anime (Eng Subbed),"<a href=""https://katmoviehd.se/category/anime-eng-subbed/"">Anime (Eng Subbed)</a>"
36,Dubbed Movie,"<a href=""https://katmoviehd.se/category/dubbed-movie/"">Dubbed Movie</a>"
