,day,des2
0,বৃহস্পতিবার25 ফেব্রুয়ারি,"['', '34 / 19\xa0°C', 'Sunny.', '31\xa0°C', '13 km/h', '↑', '22%', '0%', '-', '5 (Moderate)', '06:23', '17:59']"
1,শুক্রবার26 ফেব্রুয়ারি,"['', '35 / 19\xa0°C', 'Sunny.', '31\xa0°C', '12 km/h', '↑', '24%', '0%', '-', '5 (Moderate)', '06:23', '17:59']"
2,শনিবার27 ফেব্রুয়ারি,"['', '34 / 20\xa0°C', 'Sunny.', '32\xa0°C', '11 km/h', '↑', '35%', '2%', '-', '5 (Moderate)', '06:22', '18:00']"
3,রবিবার28 ফেব্রুয়ারি,"['', '36 / 22\xa0°C', 'Clearing skies.', '33\xa0°C', '11 km/h', '↑', '30%', '2%', '-', '5 (Moderate)', '06:21', '18:00']"
4,সোমবার01 মার্চ,"['', '37 / 21\xa0°C', 'Sunny.', '34\xa0°C', '12 km/h', '↑', '23%', '2%', '-', '5 (Moderate)', '06:20', '18:01']"
5,মঙ্গলবার02 মার্চ,"['', '34 / 22\xa0°C', 'Sunny.', '32\xa0°C', '13 km/h', '↑', '16%', '3%', '-', '7 (High)', '06:19', '18:01']"
6,বুধবার03 মার্চ,"['', '32 / 23\xa0°C', 'Sunny.', '30\xa0°C', '12 km/h', '↑', '14%', '2%', '-', '7 (High)', '06:18', '18:02']"
7,বৃহস্পতিবার04 মার্চ,"['', '33 / 20\xa0°C', 'Sunny.', '30\xa0°C', '15 km/h', '↑', '17%', '3%', '-', '7 (High)', '06:17', '18:02']"
8,শুক্রবার05 মার্চ,"['', '34 / 20\xa0°C', 'Sunny.', '31\xa0°C', '14 km/h', '↑', '14%', '3%', '-', '7 (High)', '06:16', '18:03']"
9,শনিবার06 মার্চ,"['', '34 / 21\xa0°C', 'Showers early. Clearing skies.', '32\xa0°C', '10 km/h', '↑', '22%', '39%', '0.2  mm', '3 (Moderate)', '06:15', '18:03']"
10,রবিবার07 মার্চ,"['', '35 / 21\xa0°C', 'Morning clouds.', '34\xa0°C', '19 km/h', '↑', '25%', '4%', '-', '3 (Moderate)', '06:15', '18:04']"
11,সোমবার08 মার্চ,"['', '35 / 21\xa0°C', 'Sprinkles late. Decreasing cloudiness.', '41\xa0°C', '16 km/h', '↑', '51%', '48%', '1.6  mm', '3 (Moderate)', '06:14', '18:04']"
12,মঙ্গলবার09 মার্চ,"['', '35 / 21\xa0°C', 'Sprinkles. Morning clouds.', '36\xa0°C', '14 km/h', '↑', '38%', '47%', '0.6  mm', '3 (Moderate)', '06:13', '18:04']"
13,বুধবার10 মার্চ,"['', '36 / 22\xa0°C', 'Sprinkles. Breaks of sun late.', '45\xa0°C', '18 km/h', '↑', '56%', '59%', '1.5  mm', '3 (Moderate)', '06:12', '18:05']"
14,বৃহস্পতিবার11 মার্চ,"['', '36 / 22\xa0°C', 'Sprinkles. Scattered clouds.', '42\xa0°C', '12 km/h', '↑', '47%', '50%', '1.7  mm', '5 (Moderate)', '06:11', '18:05']"
